Name,Position,Company,Education,Location,Connections,Profile Link
Richard D.,CEO,outSOC,,Miami Metropolitan Area,500+,https://www.linkedin.com/in/richard-d-4529a89/
Zaheer Shaikh,CEO,Orbittech Technologies Inc (ORBITTECH),Osmania University,"Jersey City, New Jersey",500+,https://www.linkedin.com/in/zaheer-shaikh-0715b080/
Cyrus Elworth,CEO,cohes.us,,"Madison, Wisconsin",500+,https://www.linkedin.com/in/cyruselworth/
Randi Zuckerberg,CEO,Zuckerberg Media,Harvard University,"New York, New York",,https://www.linkedin.com/in/randizuckerberg/
Kate Whitcomb,CEO,Chrysalis Cloud,Northwestern University - Kellogg School of Management,"San Francisco, California",500+,https://www.linkedin.com/in/katewhitcomb/
Pam Murphy,CEO,Imperva,University College Cork,San Francisco Bay Area,500+,https://www.linkedin.com/in/pam-murphy-a5297915/
Martin Mendez,CEO,NEORIS,Universidad Austral de Rosario,Miami/Fort Lauderdale Area,500+,https://www.linkedin.com/in/martinmendez2/
David Abney,CEO,UPS,Delta State University,Greater Atlanta Area,,https://www.linkedin.com/in/davidabneyups/
Mary Barra,CEO,General Motors,Stanford University Graduate School of Business,Greater Detroit Area,,https://www.linkedin.com/in/mary-barra-29469712/
Ron Johnson,CEO,"Enjoy Technology, Inc.",Harvard Business School,San Francisco Bay Area,,https://www.linkedin.com/in/ron-johnson-589233b9/
Jo Ann Jenkins,CEO,AARP,Spring Hill College,"Washington, District Of Columbia",,https://www.linkedin.com/in/jo-ann-jenkins-88778555/
Phyllis Wise,CEO,Colorado Longitudinal Study,University of Michigan,"Boulder, Colorado",,https://www.linkedin.com/in/phylliswise/
Gary Burnison,CEO,Korn Ferry,,Greater Los Angeles Area,,https://www.linkedin.com/in/gary-burnison-9144957a/
Robert Hessel,CEO,Source 1 Solutions,,United States,500+,https://www.linkedin.com/in/roberthessel/
Scott Belsky,"Executive, Author, Investor, & Product Obsessive",Adobe,Harvard Business School,"New York, New York",,https://www.linkedin.com/in/scottbelsky/
Kevin Johnson,president and chief executive officer,Starbucks,New Mexico State University,"Seattle, Washington",,https://www.linkedin.com/in/kevjohns/
Rose Marcario,CEO,Patagonia,California State University-Los Angeles,Greater Los Angeles Area,,https://www.linkedin.com/in/rose-marcario-06703716/
Alex Gorsky,Chairman,Johnson & Johnson,The Wharton School,"New Brunswick, New Jersey",,https://www.linkedin.com/in/alex-gorsky/
Mark Suzman,CEO,Bill & Melinda Gates Foundation,University of Oxford,Greater Seattle Area,,https://www.linkedin.com/in/marksuzman/
Salvatore Palella,CEO,"Helbiz, Inc.",,"New York, New York",351,https://www.linkedin.com/in/palella/
Carmen Marsh,CEO,Inteligenca,"University of California, Davis - Graduate School of Management","Davis, California",500+,https://www.linkedin.com/in/carmenmarsh/
John Seville,CEO,"Center for Transformative Coaching, Inc.",Indiana University Bloomington,Greater Denver Area,500+,https://www.linkedin.com/in/johnseville/
M. Chandilya,CEO,CS Group,INSEAD,"Orange County, California Area",,https://www.linkedin.com/in/m-chandilya-07112a5/
Brandon L. Fant,CEO,Fantom LLC.,Appalachian State University,"Atlanta, Georgia",500+,https://www.linkedin.com/in/brandon-l-fant-5b12a28b/
"Mr. Bruce D. Roach, J.D.",CEO,ECS Health Systems,"Rutgers, The State University of New Jersey - Rutgers Business School","Somerset, New Jersey",500+,https://www.linkedin.com/in/bdroach/
Rick J. Caruso,CEO,Caruso,Pepperdine University,Greater Los Angeles Area,,https://www.linkedin.com/in/rickjcaruso/
George Kurian,CEO,NetApp,Stanford University Graduate School of Business,San Francisco Bay Area,471,https://www.linkedin.com/in/georgekuriannetapp/
Ed Bastian,CEO,Delta Air Lines,St. Bonaventure University,"Atlanta, Georgia",,https://www.linkedin.com/in/edbastian/
David Kenny,CEO,Nielsen,Harvard Business School,"New York, New York",,https://www.linkedin.com/in/davidkenny1/
Jeremy Zimmer,CEO,United Talent Agency,Boston University,Greater Los Angeles Area,,https://www.linkedin.com/in/zimmerjeremy/
